#data_01,data_02,data_04,data_05
0.0,0.0,0.779,0.0
1.0,5.451,0.731,0.023
2.0,15.386,0.826,0.087
3.0,22.859,0.709,1.458
4.0,17.325,0.605,1.755
5.0,42.606,0.525,0.001
6.0,26.325,0.518,2.664
7.0,49.457,0.531,3.289
8.0,52.367,0.645,0.883
9.0,89.32,0.562,3.816
10.0,65.407,0.613,6.972
11.0,105.191,0.656,10.067
12.0,98.132,0.631,11.462
13.0,65.106,0.606,7.388
14.0,77.488,0.529,0.354
15.0,61.974,0.541,3.223
16.0,49.983,0.606,9.87
17.0,31.174,0.508,10.895
18.0,65.016,0.7,5.679
19.0,83.696,0.513,7.084
20.0,164.52,0.61,10.191
21.0,62.018,0.784,2.036
22.0,95.138,0.536,6.883
23.0,84.695,0.817,19.119
24.0,203.431,0.793,8.699
25.0,132.725,0.543,0.659
26.0,142.97,0.501,3.473
27.0,125.522,0.589,1.253
28.0,229.254,0.715,6.064
29.0,116.948,0.836,19.601
30.0,41.647,0.526,1.286
31.0,233.906,0.527,19.478
32.0,218.809,0.683,8.902
33.0,170.434,0.743,18.348
34.0,216.753,0.681,15.41
35.0,198.024,0.779,31.622
36.0,299.534,0.619,18.362
37.0,367.665,0.822,29.847
38.0,258.258,0.745,36.322
39.0,113.43,0.723,29.476
40.0,90.036,0.632,14.941
41.0,177.887,0.72,34.409
42.0,86.472,0.798,26.356
43.0,292.457,0.578,22.101
44.0,214.721,0.797,25.36
45.0,146.526,0.574,36.209
46.0,396.473,0.824,31.619
47.0,126.864,0.702,3.933
48.0,144.824,0.534,31.292
49.0,62.56,0.691,31.161
50.0,380.538,0.652,10.776
51.0,145.53,0.805,7.157
52.0,395.067,0.672,26.213
53.0,54.789,0.76,5.399
54.0,92.817,0.727,15.911
55.0,281.469,0.737,30.776
56.0,261.405,0.656,34.194
57.0,338.034,0.767,20.498
58.0,279.762,0.513,26.272
59.0,134.163,0.78,58.757
60.0,575.911,0.687,14.3
61.0,563.173,0.716,50.721
62.0,262.695,0.595,28.99
63.0,439.487,0.645,43.512
64.0,461.162,0.615,43.437
65.0,67.97,0.641,29.108
66.0,74.388,0.654,21.244
67.0,377.696,0.724,18.439
68.0,171.899,0.719,16.66
69.0,538.155,0.833,37.598
70.0,694.877,0.815,15.333
71.0,660.999,0.516,46.481
72.0,271.149,0.825,49.804
73.0,190.571,0.586,20.718
74.0,307.743,0.785,48.718
75.0,591.497,0.593,42.357
76.0,454.056,0.833,14.356
77.0,759.547,0.779,18.516
78.0,266.991,0.641,28.301
79.0,680.161,0.71,32.473
80.0,612.158,0.833,63.294
81.0,565.291,0.607,3.297
82.0,102.518,0.559,76.746
83.0,86.265,0.551,22.492
84.0,517.68,0.812,58.33
85.0,376.033,0.741,20.491
86.0,713.118,0.814,41.543
87.0,789.711,0.742,70.324
88.0,370.899,0.801,14.72
89.0,349.097,0.814,28.807
90.0,277.073,0.753,19.741
91.0,458.659,0.531,54.531
92.0,689.923,0.841,71.803
93.0,596.324,0.56,78.758
94.0,709.956,0.814,31.099
95.0,373.898,0.515,67.795
96.0,747.1,0.511,87.556
97.0,922.006,0.65,3.265
98.0,305.154,0.656,62.08
99.0,174.215,0.582,92.358
