Star_name	Mass	Metallicity	Logg	Spectral_type	Distance	Temperature	Radius	vsini	spectral_index_01	spectral_index_02	spectral_index_03	spectral_index_04	spectral_index_05	spectral_index_06	
star_0	1.000           	0.500           	5.000           	0.100           	33.592          	6000.000        	1.000           	77.000          	8.094           	17.584          	16.125          	4.000           	25.678          	0.000
star_1	0.999           	0.500           	4.000           	0.100           	1.996           	5997.240        	0.999           	77.000          	5.562           	11.889          	6.750           	2.996           	17.451          	0.600
star_2	0.998           	0.500           	5.000           	0.100           	68.868          	5994.480        	0.998           	77.000          	8.093           	17.585          	16.126          	3.991           	25.678          	1.200
star_3	0.997           	0.000           	4.000           	0.100           	67.510          	5991.720        	0.997           	77.000          	5.062           	11.391          	6.250           	3.989           	16.453          	1.800
star_4	0.996           	1.000           	5.000           	0.100           	25.544          	5988.960        	0.996           	77.000          	8.590           	18.086          	16.629          	3.016           	26.676          	2.400
star_5	0.995           	1.000           	4.500           	0.100           	1.733           	5986.200        	0.995           	77.000          	7.196           	14.951          	10.887          	2.519           	22.147          	3.000
star_6	0.994           	0.500           	4.500           	0.099           	37.563          	5983.440        	0.994           	77.000          	6.698           	14.451          	10.385          	3.475           	21.149          	3.600
star_7	0.994           	0.500           	4.500           	0.099           	87.829          	5980.680        	0.994           	77.000          	6.697           	14.452          	10.385          	3.471           	21.149          	4.200
star_8	0.993           	0.500           	5.000           	0.099           	16.410          	5977.920        	0.993           	77.000          	8.090           	17.588          	16.129          	3.963           	25.678          	4.800
star_9	0.992           	0.000           	4.000           	0.099           	34.528          	5975.160        	0.992           	77.000          	5.062           	11.391          	6.250           	3.967           	16.453          	5.400
star_10	0.991           	0.500           	5.000           	0.099           	57.875          	5972.400        	0.991           	77.000          	8.089           	17.589          	16.130          	3.954           	25.678          	6.000
star_11	0.990           	0.500           	4.000           	0.099           	46.214          	5969.640        	0.990           	77.000          	5.557           	11.894          	6.755           	2.960           	17.451          	6.600
star_12	0.989           	0.500           	4.500           	0.099           	67.203          	5966.880        	0.989           	77.000          	6.695           	14.454          	10.388          	3.450           	21.149          	7.200
star_13	0.988           	0.500           	4.000           	0.099           	89.580          	5964.120        	0.988           	77.000          	5.557           	11.895          	6.756           	2.952           	17.451          	7.800
star_14	0.987           	1.000           	4.500           	0.099           	20.968          	5961.360        	0.987           	77.000          	7.187           	14.960          	10.895          	2.557           	22.147          	8.400
star_15	0.986           	0.000           	4.000           	0.099           	87.333          	5958.600        	0.986           	77.000          	5.062           	11.391          	6.250           	3.945           	16.453          	9.000
star_16	0.985           	0.000           	5.000           	0.099           	79.334          	5955.840        	0.985           	77.000          	7.594           	17.086          	15.625          	4.926           	24.680          	9.600
star_17	0.984           	0.000           	4.000           	0.098           	40.646          	5953.080        	0.984           	77.000          	5.062           	11.391          	6.250           	3.937           	16.453          	10.200
star_18	0.983           	1.000           	4.000           	0.098           	63.168          	5950.320        	0.983           	77.000          	6.046           	12.403          	7.267           	2.066           	18.449          	10.800
star_19	0.983           	1.000           	4.000           	0.098           	74.779          	5947.560        	0.983           	77.000          	6.045           	12.404          	7.268           	2.070           	18.449          	11.400
star_20	0.982           	1.000           	5.000           	0.098           	55.116          	5944.800        	0.982           	77.000          	8.575           	18.101          	16.644          	3.092           	26.676          	12.000
star_21	0.981           	0.500           	4.000           	0.098           	66.737          	5942.040        	0.981           	77.000          	5.553           	11.898          	6.760           	2.923           	17.451          	12.600
star_22	0.980           	0.000           	4.500           	0.098           	49.386          	5939.280        	0.980           	77.000          	6.200           	13.951          	9.882           	4.409           	20.151          	13.200
star_23	0.979           	1.000           	4.000           	0.098           	92.208          	5936.520        	0.979           	77.000          	6.041           	12.408          	7.272           	2.085           	18.449          	13.800
star_24	0.978           	0.500           	4.000           	0.098           	80.594          	5933.760        	0.978           	77.000          	5.551           	11.900          	6.761           	2.912           	17.451          	14.400
star_25	0.977           	0.500           	4.000           	0.098           	58.955          	5931.000        	0.977           	77.000          	5.551           	11.900          	6.762           	2.908           	17.451          	15.000
star_26	0.976           	1.000           	4.500           	0.098           	26.855          	5928.240        	0.976           	77.000          	7.176           	14.971          	10.907          	2.608           	22.147          	15.600
star_27	0.975           	0.000           	4.500           	0.098           	83.636          	5925.480        	0.975           	77.000          	6.200           	13.951          	9.882           	4.388           	20.151          	16.200
star_28	0.974           	0.500           	4.000           	0.097           	10.054          	5922.720        	0.974           	77.000          	5.550           	11.902          	6.763           	2.897           	17.451          	16.800
star_29	0.973           	0.000           	4.500           	0.097           	88.875          	5919.960        	0.973           	77.000          	6.200           	13.951          	9.882           	4.380           	20.151          	17.400
star_30	0.972           	0.500           	4.500           	0.097           	72.744          	5917.200        	0.972           	77.000          	6.686           	14.463          	10.396          	3.376           	21.149          	18.000
star_31	0.971           	0.500           	5.000           	0.097           	79.583          	5914.440        	0.971           	77.000          	8.079           	17.599          	16.140          	3.857           	25.678          	18.600
star_32	0.971           	1.000           	4.000           	0.097           	58.139          	5911.680        	0.971           	77.000          	6.033           	12.417          	7.280           	2.120           	18.450          	19.200
star_33	0.970           	1.000           	4.000           	0.097           	79.766          	5908.920        	0.970           	77.000          	6.032           	12.418          	7.281           	2.124           	18.450          	19.800
star_34	0.969           	0.500           	5.000           	0.097           	54.700          	5906.160        	0.969           	77.000          	8.078           	17.600          	16.141          	3.844           	25.678          	20.400
star_35	0.968           	0.000           	4.500           	0.097           	73.526          	5903.400        	0.968           	77.000          	6.200           	13.951          	9.882           	4.355           	20.151          	21.000
star_36	0.967           	1.000           	4.000           	0.097           	13.932          	5900.640        	0.967           	77.000          	6.029           	12.421          	7.284           	2.135           	18.450          	21.600
star_37	0.966           	1.000           	5.000           	0.097           	8.138           	5897.880        	0.966           	77.000          	8.560           	18.117          	16.660          	3.174           	26.677          	22.200
star_38	0.965           	1.000           	5.000           	0.097           	67.925          	5895.120        	0.965           	77.000          	8.559           	18.118          	16.661          	3.179           	26.677          	22.800
star_39	0.964           	0.000           	4.000           	0.096           	47.631          	5892.360        	0.964           	77.000          	5.062           	11.391          	6.250           	3.856           	16.453          	23.400
star_40	0.963           	1.000           	5.000           	0.096           	4.542           	5889.600        	0.963           	77.000          	8.557           	18.120          	16.663          	3.189           	26.677          	24.000
star_41	0.962           	1.000           	4.500           	0.096           	27.918          	5886.840        	0.962           	77.000          	7.163           	14.986          	10.921          	2.674           	22.148          	24.600
star_42	0.961           	0.500           	4.500           	0.096           	17.015          	5884.080        	0.961           	77.000          	6.681           	14.469          	10.402          	3.326           	21.150          	25.200
star_43	0.960           	0.500           	4.500           	0.096           	2.153           	5881.320        	0.960           	77.000          	6.680           	14.469          	10.403          	3.322           	21.150          	25.800
star_44	0.960           	0.000           	4.000           	0.096           	70.159          	5878.560        	0.960           	77.000          	5.062           	11.391          	6.250           	3.838           	16.453          	26.400
star_45	0.959           	0.500           	4.000           	0.096           	69.617          	5875.800        	0.959           	77.000          	5.542           	11.910          	6.772           	2.834           	17.452          	27.000
star_46	0.958           	0.000           	4.500           	0.096           	67.968          	5873.040        	0.958           	77.000          	6.200           	13.951          	9.882           	4.310           	20.151          	27.600
