//Star_name	data01	data02	data03	data04	data05	data06	data07	data08	data09	data10	
star_0	0.000           	0.000           	0.683           	0.559           	0.000           	0.691           	0.000           	0.000           	0.000           	0.000
star_1	0.784           	8.182           	0.663           	0.799           	5.000           	0.691           	7.000           	8.000           	9.000           	1.000
star_2	1.954           	3.323           	0.741           	0.749           	10.000          	0.691           	14.000          	16.000          	18.000          	2.000
star_3	0.048           	12.583          	0.630           	0.834           	15.000          	0.691           	21.000          	24.000          	27.000          	3.000
star_4	3.052           	16.620          	0.570           	0.762           	20.000          	0.691           	28.000          	32.000          	36.000          	4.000
star_5	0.191           	26.100          	0.796           	0.785           	25.000          	0.691           	35.000          	40.000          	45.000          	5.000
star_6	5.401           	51.317          	0.766           	0.592           	30.000          	0.691           	42.000          	48.000          	54.000          	6.000
star_7	3.143           	39.026          	0.686           	0.797           	35.000          	0.691           	49.000          	56.000          	63.000          	7.000
star_8	3.285           	39.891          	0.526           	0.504           	40.000          	0.691           	56.000          	64.000          	72.000          	8.000
star_9	6.083           	65.179          	0.684           	0.514           	45.000          	0.691           	63.000          	72.000          	81.000          	9.000
star_10	7.425           	74.370          	0.770           	0.814           	50.000          	0.691           	70.000          	80.000          	90.000          	10.000
star_11	1.971           	33.501          	0.837           	0.730           	55.000          	0.691           	77.000          	88.000          	99.000          	11.000
star_12	10.953          	51.257          	0.525           	0.672           	60.000          	0.691           	84.000          	96.000          	108.000         	12.000
star_13	7.100           	96.881          	0.704           	0.512           	65.000          	0.691           	91.000          	104.000         	117.000         	13.000
star_14	4.929           	131.433         	0.833           	0.793           	70.000          	0.691           	98.000          	112.000         	126.000         	14.000
star_15	2.317           	73.077          	0.731           	0.834           	75.000          	0.691           	105.000         	120.000         	135.000         	15.000
star_16	4.935           	121.290         	0.634           	0.555           	80.000          	0.691           	112.000         	128.000         	144.000         	16.000
star_17	13.992          	75.235          	0.650           	0.617           	85.000          	0.691           	119.000         	136.000         	153.000         	17.000
star_18	5.474           	42.841          	0.553           	0.814           	90.000          	0.691           	126.000         	144.000         	162.000         	18.000
star_19	13.327          	71.005          	0.684           	0.594           	95.000          	0.691           	133.000         	152.000         	171.000         	19.000
star_20	1.105           	171.363         	0.810           	0.624           	100.000         	0.691           	140.000         	160.000         	180.000         	20.000
star_21	15.391          	201.523         	0.676           	0.762           	105.000         	0.691           	147.000         	168.000         	189.000         	21.000
star_22	10.873          	95.710          	0.799           	0.607           	110.000         	0.691           	154.000         	176.000         	198.000         	22.000
star_23	0.665           	147.845         	0.568           	0.520           	115.000         	0.691           	161.000         	184.000         	207.000         	23.000
star_24	6.687           	100.187         	0.726           	0.806           	120.000         	0.691           	168.000         	192.000         	216.000         	24.000
star_25	13.822          	215.632         	0.533           	0.812           	125.000         	0.691           	175.000         	200.000         	225.000         	25.000
star_26	21.528          	80.924          	0.704           	0.614           	130.000         	0.691           	182.000         	208.000         	234.000         	26.000
star_27	15.916          	188.334         	0.527           	0.833           	135.000         	0.691           	189.000         	216.000         	243.000         	27.000
star_28	0.794           	38.800          	0.824           	0.739           	140.000         	0.691           	196.000         	224.000         	252.000         	28.000
star_29	0.499           	249.009         	0.807           	0.622           	145.000         	0.691           	203.000         	232.000         	261.000         	29.000
star_30	28.890          	218.658         	0.754           	0.650           	150.000         	0.691           	210.000         	240.000         	270.000         	30.000
star_31	19.579          	64.885          	0.676           	0.665           	155.000         	0.691           	217.000         	248.000         	279.000         	31.000
star_32	17.799          	93.657          	0.532           	0.589           	160.000         	0.691           	224.000         	256.000         	288.000         	32.000
star_33	24.212          	238.957         	0.672           	0.501           	165.000         	0.691           	231.000         	264.000         	297.000         	33.000
star_34	10.639          	104.428         	0.639           	0.654           	170.000         	0.691           	238.000         	272.000         	306.000         	34.000
star_35	15.144          	79.227          	0.698           	0.570           	175.000         	0.691           	245.000         	280.000         	315.000         	35.000
star_36	29.719          	72.872          	0.796           	0.575           	180.000         	0.691           	252.000         	288.000         	324.000         	36.000
star_37	24.803          	304.132         	0.776           	0.807           	185.000         	0.691           	259.000         	296.000         	333.000         	37.000
star_38	19.761          	287.662         	0.688           	0.628           	190.000         	0.691           	266.000         	304.000         	342.000         	38.000
star_39	16.944          	346.414         	0.505           	0.750           	195.000         	0.691           	273.000         	312.000         	351.000         	39.000
star_40	25.338          	307.249         	0.711           	0.748           	200.000         	0.691           	280.000         	320.000         	360.000         	40.000
star_41	38.067          	349.911         	0.684           	0.765           	205.000         	0.691           	287.000         	328.000         	369.000         	41.000
star_42	4.269           	404.153         	0.756           	0.738           	210.000         	0.691           	294.000         	336.000         	378.000         	42.000
star_43	3.501           	64.577          	0.611           	0.618           	215.000         	0.691           	301.000         	344.000         	387.000         	43.000
star_44	16.229          	241.473         	0.808           	0.569           	220.000         	0.691           	308.000         	352.000         	396.000         	44.000
star_45	25.637          	244.714         	0.517           	0.808           	225.000         	0.691           	315.000         	360.000         	405.000         	45.000
star_46	17.293          	358.138         	0.831           	0.721           	230.000         	0.691           	322.000         	368.000         	414.000         	46.000
star_47	25.713          	60.118          	0.804           	0.626           	235.000         	0.691           	329.000         	376.000         	423.000         	47.000
star_48	5.870           	301.269         	0.599           	0.784           	240.000         	0.691           	336.000         	384.000         	432.000         	48.000
star_49	1.998           	238.372         	0.797           	0.764           	245.000         	0.691           	343.000         	392.000         	441.000         	49.000
star_50	23.067          	172.703         	0.771           	0.710           	250.000         	0.691           	350.000         	400.000         	450.000         	50.000
star_51	39.069          	267.533         	0.568           	0.504           	255.000         	0.691           	357.000         	408.000         	459.000         	51.000
star_52	30.102          	175.790         	0.588           	0.563           	260.000         	0.691           	364.000         	416.000         	468.000         	52.000
star_53	9.893           	333.271         	0.800           	0.559           	265.000         	0.691           	371.000         	424.000         	477.000         	53.000
star_54	40.275          	347.272         	0.815           	0.753           	270.000         	0.691           	378.000         	432.000         	486.000         	54.000
star_55	42.720          	136.448         	0.667           	0.722           	275.000         	0.691           	385.000         	440.000         	495.000         	55.000
star_56	50.886          	553.722         	0.573           	0.525           	280.000         	0.691           	392.000         	448.000         	504.000         	56.000
star_57	54.010          	160.534         	0.691           	0.588           	285.000         	0.691           	399.000         	456.000         	513.000         	57.000
star_58	15.943          	147.513         	0.594           	0.673           	290.000         	0.691           	406.000         	464.000         	522.000         	58.000
star_59	21.917          	136.256         	0.637           	0.508           	295.000         	0.691           	413.000         	472.000         	531.000         	59.000
star_60	39.449          	154.844         	0.799           	0.745           	300.000         	0.691           	420.000         	480.000         	540.000         	60.000
star_61	48.060          	581.112         	0.568           	0.818           	305.000         	0.691           	427.000         	488.000         	549.000         	61.000
star_62	11.058          	131.087         	0.614           	0.835           	310.000         	0.691           	434.000         	496.000         	558.000         	62.000
star_63	0.460           	338.526         	0.743           	0.525           	315.000         	0.691           	441.000         	504.000         	567.000         	63.000
star_64	62.664          	207.638         	0.737           	0.655           	320.000         	0.691           	448.000         	512.000         	576.000         	64.000
star_65	45.533          	317.934         	0.560           	0.774           	325.000         	0.691           	455.000         	520.000         	585.000         	65.000
star_66	63.218          	262.723         	0.724           	0.555           	330.000         	0.691           	462.000         	528.000         	594.000         	66.000
star_67	61.089          	203.037         	0.623           	0.769           	335.000         	0.691           	469.000         	536.000         	603.000         	67.000
star_68	65.732          	375.027         	0.671           	0.697           	340.000         	0.691           	476.000         	544.000         	612.000         	68.000
star_69	22.970          	415.784         	0.755           	0.747           	345.000         	0.691           	483.000         	552.000         	621.000         	69.000
star_70	22.685          	319.364         	0.729           	0.598           	350.000         	0.691           	490.000         	560.000         	630.000         	70.000
star_71	7.219           	170.681         	0.834           	0.582           	355.000         	0.691           	497.000         	568.000         	639.000         	71.000
star_72	58.378          	195.398         	0.830           	0.602           	360.000         	0.691           	504.000         	576.000         	648.000         	72.000
